EDAD,SEXO,TALLA,DS3_,DS2_,DS1_,DS0,DS1,DS2,DS3
5,2,105.5,13.0,14.2,15.5,16.9,18.7,20.6,22.8
5,2,106.0,13.1,14.3,15.6,17.1,18.9,20.8,23.0
5,2,106.5,13.3,14.5,15.8,17.3,19.1,21.0,23.3
5,2,107.0,13.4,14.6,15.9,17.5,19.3,21.25,23.5
5,2,107.5,13.5,14.7,16.1,17.7,19.5,21.5,23.8
5,2,108.0,13.7,14.9,16.3,17.8,19.7,21.7,24.05
5,2,108.5,13.8,15.0,16.4,18.0,19.9,21.9,24.3
5,2,109.0,13.9,15.2,16.6,18.2,20.1,22.2,24.6
5,2,109.5,14.1,15.4,16.8,18.4,20.3,22.4,24.9
5,2,110.0,14.2,15.5,17.0,18.6,20.5,22.7,25.1
5,2,110.5,14.4,15.7,17.1,18.8,20.7,22.9,25.4
5,2,111.0,14.5,15.8,17.3,19.0,21.0,23.2,25.7
5,2,111.5,14.7,16.0,17.5,19.2,21.2,23.4,26.0
5,2,112.0,14.8,16.2,17.7,19.4,21.4,23.7,26.3
5,2,112.5,15.0,16.3,17.9,19.6,21.7,24.0,26.6
5,2,113.0,15.1,16.5,18.0,19.8,21.9,24.2,26.9
5,2,113.5,15.3,16.7,18.2,20.0,22.1,24.5,27.2
5,2,114.0,15.4,16.8,18.4,20.2,22.4,24.7,27.5
5,2,114.5,15.6,17.0,18.6,20.5,22.6,25.0,27.8
5,2,115.0,15.7,17.2,18.8,20.7,22.85,25.3,28.1
5,2,115.5,15.9,17.3,19.0,20.9,23.1,25.55,28.45
5,2,116.0,16.0,17.5,19.2,21.1,23.3,25.8,28.7
5,2,116.5,16.2,17.7,19.4,21.3,23.6,26.1,29.05
5,2,117.0,16.3,17.8,19.6,21.5,23.8,26.4,29.4
5,2,117.5,16.5,18.0,19.8,21.7,24.1,26.7,29.7
5,2,118.0,16.6,18.2,19.9,22.0,24.5,26.9,30.0
5,2,118.5,16.8,18.4,20.1,22.2,24.6,27.25,30.3
5,2,119.0,16.9,18.5,20.3,22.4,24.8,27.5,30.65
5,2,119.5,17.1,18.7,20.5,22.6,25.05,27.8,30.9
5,2,120.0,17.3,18.9,20.7,22.8,25.3,28.1,31.3
